,pretty_formula,energy,force,pressure
0,Cu3Sn,-68022.77969824357,0.9448807651318737,-106.8
1,Cu10Sn3,-43999.9206485236,0.5611177637615786,-93.69
2,CuSn3,-7662.616838318748,5.1422082456156395e-05,-18.41
3,Cu5Sn4,-48182.9939642486,0.6242383699765105,-77.77
4,Cu81Sn22,-173541.6383034807,1.21196706140915,-93.51
5,Cu10Sn3,-43993.41873875595,1.1778742207407185,-83.6
6,Cu3Sn,-13604.32511405576,0.5266392574747257,-99.98
7,Cu3Sn,-13604.878593853087,0.5463339150554336,-105.18
8,Cu3Sn,-6799.949413975627,5.1422082456156395e-05,7.24
9,Cu6Sn5,-39355.81911670555,0.612565557258963,-70.79
10,Cu5Sn4,-64243.24956766611,0.6186847850712457,-71.81
11,CuSn,-7233.368770815121,0.0,-64.5
12,Cu10Sn3,-43999.9505169765,0.5946192504817646,-92.16
13,Cu41Sn11,-175134.99289212545,1.5221450627846853,-86.17
14,Cu19Sn16,-62650.71124552979,0.5865974056186041,-76.34
15,CuSn3,-15328.01743797267,1.027824584133654,-22.69
