,columns,lasso rmse,nn scores,krr rmse,lasso rmse no crude,nn scores no crude,krr rmse no crude
0,"('density',)",100,0.06728491016047633,3.6630734482970397,100,100,1.1825263048182286
1,"('volume',)",100,0.11753311016176436,0.10041709980324065,100,100,0.10044903822297303
2,"('num_cu',)",100,0.09787802478645209,0.0967457918400249,100,100,0.12098162207146045
3,"('num_sn',)",100,0.08055387726537058,1.3455632409072826,100,100,0.09822106170487341
4,"('lattice',)",100,0.10876657545187925,0.10709120617391961,100,100,0.10624913791203378
5,"('angles',)",100,0.5391944434638263,2.115751427887745,100,100,0.10090953587760296
6,"('density', 'volume')",100,0.07082981707600582,0.10041591046430057,100,100,0.10041739756097906
7,"('density', 'num_cu')",100,0.18069318169768567,0.11637864977607115,100,100,0.15451102510120024
8,"('density', 'num_sn')",100,0.08493457755816292,0.1481866720832651,100,100,0.18478684506207813
9,"('density', 'lattice')",100,0.08616032626163718,0.10150447031340491,100,100,0.1030690280187394
10,"('density', 'angles')",100,0.15214041568207745,0.7298080127246357,100,100,2.3848255611277387
11,"('volume', 'num_cu')",100,0.06353532084187381,0.10041223849306756,100,100,0.10042914037594065
12,"('volume', 'num_sn')",100,0.060758308283379366,0.10040108321935107,100,100,0.10041616826273017
13,"('volume', 'lattice')",100,0.3888913181621203,0.1005420654236846,100,100,0.10048680365683797
14,"('volume', 'angles')",100,0.7303773415974639,0.10046487250855668,100,100,0.10046521027068904
15,"('num_cu', 'num_sn')",100,0.09257371708472346,0.18703897519483684,100,100,0.11459454677697635
16,"('num_cu', 'lattice')",100,0.4786019449304727,0.09096158004264536,100,100,0.09110808172148177
17,"('num_cu', 'angles')",100,1.2267685152934178,0.1931198141975693,100,100,0.12525117643652287
18,"('num_sn', 'lattice')",100,0.1159699637715065,0.10509164556702191,100,100,0.1064534383579889
19,"('num_sn', 'angles')",100,0.5662828510393044,1.6824568470325258,100,100,0.094515868868457
20,"('lattice', 'angles')",100,1.255080664655813,0.1210951190248745,100,100,0.1237434543590866
21,"('density', 'volume', 'num_cu')",100,0.07889726462969641,0.1004022795666993,100,100,0.10041245938570012
22,"('density', 'volume', 'num_sn')",100,0.08487709715586651,0.10039446611464048,100,100,0.10040133059963736
23,"('density', 'volume', 'lattice')",100,0.2760514117528516,0.10063084450386613,100,100,0.10054105009430071
24,"('density', 'volume', 'angles')",100,2.0251068735826983,0.10046469025037884,100,100,0.10046487318413043
25,"('density', 'num_cu', 'num_sn')",100,0.17108531314042125,0.11625103619889848,100,100,0.11725041629699703
26,"('density', 'num_cu', 'lattice')",100,0.1439699915041699,0.08500010922467556,100,100,0.08539276526256981
27,"('density', 'num_cu', 'angles')",100,2.1145418416284874,0.12564865085376514,100,100,0.1263761307576409
28,"('density', 'num_sn', 'lattice')",100,0.7032534887309361,0.11227210898394553,100,100,0.11397955688833447
29,"('density', 'num_sn', 'angles')",100,0.8886531581425641,0.1812811713531467,100,100,0.2866268386118645
30,"('density', 'lattice', 'angles')",100,1.1671288709295997,0.1483140753435171,100,100,0.15233685297745908
31,"('volume', 'num_cu', 'num_sn')",100,0.09116345539036934,0.10040209755883138,100,100,0.10041224159809396
32,"('volume', 'num_cu', 'lattice')",100,0.3392352384318771,0.10044112022113515,100,100,0.10044618188809047
33,"('volume', 'num_cu', 'angles')",100,4.22422092356713,0.1004646898645995,100,100,0.10046487251186495
34,"('volume', 'num_sn', 'lattice')",100,0.35572222617720506,0.10045088213881127,100,100,0.10044843371186754
35,"('volume', 'num_sn', 'angles')",100,3.4538234997565533,0.10046468978383065,100,100,0.10046487250523996
36,"('volume', 'lattice', 'angles')",100,3.2238444213612953,0.1004644992534201,100,100,0.10046457887543717
37,"('num_cu', 'num_sn', 'lattice')",100,0.491888485641486,0.11218627416626482,100,100,0.11281673318045968
38,"('num_cu', 'num_sn', 'angles')",100,1.5891189425822982,0.1821131835558881,100,100,0.10506394741650779
39,"('num_cu', 'lattice', 'angles')",100,0.3680587970015736,0.11597467615091224,100,100,0.11449825665838195
40,"('num_sn', 'lattice', 'angles')",100,3.457178799786835,0.10286160339913636,100,100,0.10218661545419248
41,"('density', 'volume', 'num_cu', 'num_sn')",100,0.124471736314858,0.10039590416978326,100,100,0.1004022819008136
42,"('density', 'volume', 'num_cu', 'lattice')",100,0.47435590549811196,0.10043615716389379,100,100,0.10044115040864784
43,"('density', 'volume', 'num_cu', 'angles')",100,1.5134178394396245,0.1004645796041451,100,100,0.10046469032865227
44,"('density', 'volume', 'num_sn', 'lattice')",100,0.4321566148875343,0.10046057358199072,100,100,0.10045082143379253
45,"('density', 'volume', 'num_sn', 'angles')",100,2.2111548820598736,0.10046457913463895,100,100,0.10046469024809555
46,"('density', 'volume', 'lattice', 'angles')",100,0.6670540062874488,0.10046442395610124,100,100,0.10046449953048883
47,"('density', 'num_cu', 'num_sn', 'lattice')",100,0.45243244919791537,0.10513256403996629,100,100,0.10658441874713
48,"('density', 'num_cu', 'num_sn', 'angles')",100,2.5451656143004406,0.10911734133208359,100,100,0.10860979096599938
49,"('density', 'num_cu', 'lattice', 'angles')",100,0.4976836208951173,0.11135945955182357,100,100,0.11060115703449651
50,"('density', 'num_sn', 'lattice', 'angles')",100,0.26879870809011075,0.12720959247710242,100,100,0.12864192643773414
51,"('volume', 'num_cu', 'num_sn', 'lattice')",100,0.6927552545227202,0.10043609041331804,100,100,0.10044111112371004
52,"('volume', 'num_cu', 'num_sn', 'angles')",100,0.7054089909559554,0.10046457926272515,100,100,0.10046468986232131
53,"('volume', 'num_cu', 'lattice', 'angles')",100,0.7895908778138822,0.10046442837224154,100,100,0.10046450098219843
54,"('volume', 'num_sn', 'lattice', 'angles')",100,4.279293078326245,0.10046442366600615,100,100,0.10046449925001538
55,"('num_cu', 'num_sn', 'lattice', 'angles')",100,0.2696887237820695,0.11440776639765754,100,100,0.11327240054032833
56,"('density', 'volume', 'num_cu', 'num_sn', 'lattice')",100,0.32204579450108284,0.10043133972987812,100,100,0.10043612826274181
57,"('density', 'volume', 'num_cu', 'num_sn', 'angles')",100,0.774643411980566,0.10046450118987008,100,100,0.10046457960247626
58,"('density', 'volume', 'num_cu', 'lattice', 'angles')",100,1.8026697802321328,0.10046433867131481,100,100,0.10046442863230783
59,"('density', 'volume', 'num_sn', 'lattice', 'angles')",100,1.175138269902988,0.10046432835227666,100,100,0.1004644239343002
60,"('density', 'num_cu', 'num_sn', 'lattice', 'angles')",100,0.26076789093454306,0.10919528651966545,100,100,0.1088337719064796
61,"('volume', 'num_cu', 'num_sn', 'lattice', 'angles')",100,0.8646693004620793,0.10046433836576249,100,100,0.1004644283709494
62,"('density', 'volume', 'num_cu', 'num_sn', 'lattice', 'angles')",100,2.3205410488060605,0.10046420903729963,100,100,0.10046433866961246
