,Element,k-points,supercell,energy,pressure,force
0,Cu,8,1,-1592.6693186136602,-126.13,0.0
1,Cu,8,1,-1592.692029380929,-124.73,0.0
2,Cu,8,1,-1592.70373504326,-116.36,0.0
3,Cu,8,1,-1592.7059331798393,-111.89,0.0
4,Cu,8,1,-1592.7061016183814,-112.11,0.0
5,Cu,8,1,-1592.7071691214517,-113.51,0.0
6,Cu,8,1,-1592.7087932336299,-113.66,0.0
7,Sn,8,1,-4048.541851511254,-25.99,5.1422082456156395e-05
8,Sn,8,1,-4048.5467027589566,-25.98,2.5711041228078197e-05
9,Sn,8,1,-4048.5490769532694,-25.68,5.1422082456156395e-05
10,Sn,8,1,-4048.549449749396,-25.56,5.1422082456156395e-05
11,Sn,8,1,-4048.549757646343,-25.64,0.00010284416491231279
12,Sn,8,1,-4048.550467863782,-25.66,5.1422082456156395e-05
13,Sn,8,1,-4048.5509439271577,-25.53,7.71331236842346e-05
