,Element,k-points,supercell,energy,pressure,force,ecut
0,Cu,6,1,-1592.6415259821067,-123.15,0.0,40
1,Sn,6,1,-4048.514268407451,-25.68,0.00010284416491231279,40
2,Cu,7,1,-1592.7431600024318,-135.35,0.0,40
3,Sn,7,1,-4048.5328982816413,-25.9,0.00010284416491231279,40
4,Cu,8,1,-1592.6693186136602,-126.13,0.0,40
5,Sn,8,1,-4048.541851511254,-25.99,5.1422082456156395e-05,40
6,Cu,9,1,-1592.7148785181469,-131.62,0.0,40
7,Sn,9,1,-4048.5461661502245,-26.25,5.1422082456156395e-05,40
8,Cu,10,1,-1592.6874433082817,-132.41,0.0,40
9,Sn,10,1,-4048.5482347605584,-26.37,5.1422082456156395e-05,40
10,Cu,11,1,-1592.7066565948055,-135.74,0.0,40
11,Sn,11,1,-4048.549188519993,-26.5,5.1422082456156395e-05,40
