,Unnamed: 0,Element,k-points,supercell,energy,force,ecut
32,2.0,CuSn3,5,1,-24701.538888274903,5.14220824561564e-05,45
31,1.0,Cu3Sn,5,1,-25896.279363659254,0.0,45
30,0.0,CuSn,5,1,-25299.528452240902,0.0,45
0,0.0,Cu,6,1,-6623.2743706160145,0.0,45
35,5.0,CuSn3,6,1,-24701.60896796027,7.713312368423459e-05,45
34,4.0,Cu3Sn,6,1,-25896.306848393862,0.0,45
33,3.0,CuSn,6,1,-25299.591478460283,0.0,45
1,1.0,Sn,6,1,-12052.712517820375,0.00035995457719309475,45
37,7.0,Cu3Sn,7,1,-25896.342955195392,5.14220824561564e-05,45
38,8.0,CuSn3,7,1,-24701.560099558188,0.0002056883298246256,45
36,6.0,CuSn,7,1,-25299.56448162601,0.0,45
2,2.0,Cu,7,1,-6623.418874694317,0.0,45
3,3.0,Sn,7,1,-12052.729327660338,0.00035995457719309475,45
41,11.0,CuSn3,8,1,-24701.58670808584,0.00023139937105270375,45
40,10.0,Cu3Sn,8,1,-25896.315281205523,0.0,45
39,9.0,CuSn,8,1,-25299.594969410293,0.0,45
4,4.0,Cu,8,1,-6623.3815508631,0.0,45
5,5.0,Sn,8,1,-12052.73758645512,0.00033424353596501653,45
44,2.0,CuSn3,9,1,-24701.58006850518,0.00023139937105270375,45
43,1.0,Cu3Sn,9,1,-25896.326928771523,0.0,45
42,0.0,CuSn,9,1,-25299.584482138223,0.0,45
6,6.0,Cu,9,1,-6623.404503811793,0.0,45
7,7.0,Sn,9,1,-12052.741171828677,0.00035995457719309475,45
45,3.0,CuSn,10,1,-25299.574124120285,0.0,45
8,8.0,Cu,10,1,-6623.385565496427,0.0,45
9,9.0,Sn,10,1,-12052.742925875269,0.00035995457719309475,45
46,4.0,Cu3Sn,10,1,-25896.321892894503,0.0,45
47,5.0,CuSn3,10,1,-24701.586141408512,0.00023139937105270375,45
48,6.0,CuSn,11,1,-25299.58332279669,0.0,45
50,8.0,CuSn3,11,1,-24701.576932527838,5.14220824561564e-05,45
49,7.0,Cu3Sn,11,1,-25896.32761341025,2.57110412280782e-05,45
10,10.0,Cu,11,1,-6623.399592971134,0.0,45
11,11.0,Sn,11,1,-12052.743867797746,0.00035995457719309475,45
53,11.0,CuSn3,12,1,-24701.57583019417,0.0001028441649123128,45
52,10.0,Cu3Sn,12,1,-25896.337040526327,2.57110412280782e-05,45
51,9.0,CuSn,12,1,-25299.584865274683,0.0,45
12,12.0,Cu,12,1,-6623.379522525631,0.0,45
13,13.0,Sn,12,1,-12052.744211885853,0.00035995457719309475,45
55,13.0,Cu3Sn,13,1,-25896.318179899496,2.57110412280782e-05,45
15,15.0,Sn,13,1,-12052.744304948828,0.00035995457719309475,45
56,14.0,CuSn3,13,1,-24701.5776268266,0.00017997728859654738,45
54,12.0,CuSn,13,1,-25299.584024850712,0.0,45
14,14.0,Cu,13,1,-6623.400788503822,0.0,45
16,16.0,Cu,14,1,-6623.39636760435,0.0,45
64,,CuSn,14,1,-25299.5787044,0.0,45
65,,Cu3Sn,14,1,-25896.3358892,0.0,45
17,17.0,Sn,14,1,-12052.744181409087,0.00035995457719309475,45
57,0.0,Cu,15,1,-6623.393195980073,0.0,45
67,,Cu3Sn,15,1,-25896.3330705,0.0,45
66,,CuSn,15,1,-25299.5823136,0.0,45
58,1.0,Cu,16,1,-6623.396675637354,0.0,45
59,2.0,Cu,17,1,-6623.391995005105,0.0,45
60,3.0,Cu,18,1,-6623.393174755184,0.0,45
18,0.0,Cu,19,1,-6623.395346496709,0.0,45
19,1.0,Cu,20,1,-6623.399244121034,0.0,45
20,2.0,Cu,21,1,-6623.3984102278,0.0,45
21,0.0,Cu,22,1,-6623.400847824665,0.0,45
22,1.0,Cu,23,1,-6623.397014011064,0.0,45
23,2.0,Cu,24,1,-6623.396588969056,0.0,45
24,3.0,Cu,25,1,-6623.39546813165,0.0,45
25,0.0,Cu,26,1,-6623.400372985803,0.0,45
26,1.0,Cu,27,1,-6623.395389082545,0.0,45
27,0.0,Cu,28,1,-6623.398648871745,0.0,45
28,1.0,Cu,29,1,-6623.399086158879,0.0,45
29,2.0,Cu,30,1,-6623.396081748633,0.0,45
61,0.0,Cu,31,1,-6623.396009230262,0.0,45
62,1.0,Cu,32,1,-6623.399313918267,0.0,45
63,2.0,Cu,33,1,-6623.396034672917,0.0,45
